condition,theta,task_id,category,task,plan,tool_calls,skipped_conditional,skipped_early_stop,skills_skipped,total_cost,latency_s,diagnosis_confidence,diagnosis_confidence_pre_deep,deep_tsfm_invoked,task_completion,error
B_tool_baseline,,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""B_static_tools""]",4,0,0,0,1.0,1.583,,,False,0.333,
B_tool_baseline,,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""B_static_tools""]",2,0,0,0,0.5,15.292,,,False,0.333,
B_tool_baseline,,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""B_static_tools""]",4,0,0,0,1.0,1.673,,,False,0.333,
B_tool_baseline,,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""B_static_tools""]",4,0,0,0,1.0,1.616,,,False,0.333,
B_tool_baseline,,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""B_static_tools""]",4,0,0,0,1.0,1.651,,,False,0.333,
B_tool_baseline,,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""B_static_tools""]",4,0,0,0,1.0,1.866,,,False,0.0,
B_tool_baseline,,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""B_static_tools""]",4,0,0,0,1.0,2.395,,,False,0.333,
B_tool_baseline,,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""B_static_tools""]",4,0,0,0,1.0,1.901,,,False,0.0,
C_planning_only,,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,19.549,,,False,0.0,
C_planning_only,,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,24.404,,,False,1.0,
C_planning_only,,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,18.481,,,False,0.667,
C_planning_only,,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,9.279,,,False,1.0,
C_planning_only,,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,21.225,,,False,0.0,
C_planning_only,,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,25.805,,,False,1.0,
C_planning_only,,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""write_todos"", ""data_retrieval""]",2,0,5,5,0.5,5.242,,,False,0.167,
C_planning_only,,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""data_retrieval"", ""anomaly_detection""]",2,0,4,4,0.9,3.635,,,False,0.0,
C_planning_only,,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,20.433,,,False,0.0,
C_planning_only,,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting""]",1,0,5,5,0.9,19.473,,,False,1.0,
C_planning_only,,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,21.462,,,False,0.667,
C_planning_only,,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,7.732,,,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,19.936,,,False,0.0,
D_skills_knowledge_no_deep_tsfm,,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting""]",1,0,5,5,0.9,22.027,,,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,17.37,,,False,0.667,
D_skills_knowledge_no_deep_tsfm,,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,8.822,,,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""read_file"", ""read_file""]",3,0,5,5,1.3,19.957,,,False,0.0,
D_skills_knowledge_no_deep_tsfm,,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval"", ""work_order_generation""]",3,0,3,3,1.2,26.003,,,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""metadata_retrieval"", ""anomaly_detection"", ""read_file""]",3,0,4,4,1.1,24.741,,,False,0.0,
D_skills_knowledge_no_deep_tsfm,,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""data_retrieval"", ""anomaly_detection"", ""read_file"", ""read_file""]",4,0,4,4,1.5,20.992,,,False,0.0,
D_skills_knowledge_no_deep_tsfm,,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""root_cause_analysis"", ""work_order_generation"", ""read_file""]",5,0,2,2,2.1,20.774,0.6,0.6,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,8.411,,,False,1.0,
D_skills_knowledge_no_deep_tsfm,,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,15.348,,,False,0.667,
D_skills_knowledge_no_deep_tsfm,,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,6.394,,,False,1.0,
E_full_theta_0_5,0.5,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.913,,,False,0.0,
E_full_theta_0_5,0.5,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,23.725,,,False,1.0,
E_full_theta_0_5,0.5,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file"", ""read_file""]",3,0,5,5,1.3,16.408,,,False,0.667,
E_full_theta_0_5,0.5,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,6.72,,,False,1.0,
E_full_theta_0_5,0.5,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.008,,,False,0.0,
E_full_theta_0_5,0.5,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,8.453,,,False,1.0,
E_full_theta_0_5,0.5,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,19.236,,,False,0.0,
E_full_theta_0_5,0.5,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""anomaly_detection"", ""data_retrieval"", ""read_file"", ""read_file""]",4,0,4,4,1.5,14.565,,,False,0.0,
E_full_theta_0_5,0.5,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,10.733,,,False,0.0,
E_full_theta_0_5,0.5,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,22.391,,,False,1.0,
E_full_theta_0_5,0.5,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.931,,,False,0.667,
E_full_theta_0_5,0.5,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,6.744,,,False,1.0,
E_full_theta_0_6,0.6,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""data_retrieval"", ""root_cause_analysis""]",3,0,3,3,1.7,18.464,,,False,0.5,
E_full_theta_0_6,0.6,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,24.131,,,False,1.0,
E_full_theta_0_6,0.6,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,5.976,,,False,0.667,
E_full_theta_0_6,0.6,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,7.6,,,False,1.0,
E_full_theta_0_6,0.6,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,17.37,,,False,0.0,
E_full_theta_0_6,0.6,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,9.854,,,False,1.0,
E_full_theta_0_6,0.6,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,[],0,0,6,6,0,1.747,,,False,0.167,
E_full_theta_0_6,0.6,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,17.758,,,False,0.0,
E_full_theta_0_6,0.6,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,17.556,,,False,0.0,
E_full_theta_0_6,0.6,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,22.616,,,False,1.0,
E_full_theta_0_6,0.6,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""metadata_retrieval"", ""root_cause_analysis"", ""read_file""]",4,0,3,3,1.9,16.004,,,False,1.0,
E_full_theta_0_6,0.6,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,7.626,,,False,1.0,
E_full_theta_0_65,0.65,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,20.642,,,False,0.0,
E_full_theta_0_65,0.65,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,24.344,,,False,1.0,
E_full_theta_0_65,0.65,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,17.568,,,False,0.667,
E_full_theta_0_65,0.65,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,7.076,,,False,1.0,
E_full_theta_0_65,0.65,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,17.726,,,False,0.0,
E_full_theta_0_65,0.65,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,9.629,,,False,1.0,
E_full_theta_0_65,0.65,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""write_todos"", ""data_retrieval""]",2,0,5,5,0.5,4.234,,,False,0.167,
E_full_theta_0_65,0.65,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""anomaly_detection"", ""data_retrieval""]",2,0,4,4,0.9,3.262,,,False,0.0,
E_full_theta_0_65,0.65,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.742,,,False,0.0,
E_full_theta_0_65,0.65,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,23.431,,,False,1.0,
E_full_theta_0_65,0.65,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,14.909,,,False,0.667,
E_full_theta_0_65,0.65,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,6.481,,,False,1.0,
E_full_theta_0_7,0.7,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,10.093,,,False,0.167,
E_full_theta_0_7,0.7,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,22.67,,,False,1.0,
E_full_theta_0_7,0.7,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,14.15,,,False,0.667,
E_full_theta_0_7,0.7,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,6.64,,,False,1.0,
E_full_theta_0_7,0.7,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,17.829,,,False,0.0,
E_full_theta_0_7,0.7,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,9.868,,,False,1.0,
E_full_theta_0_7,0.7,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""write_todos"", ""data_retrieval""]",2,0,5,5,0.5,5.006,,,False,0.167,
E_full_theta_0_7,0.7,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""data_retrieval"", ""anomaly_detection""]",2,0,4,4,0.9,16.086,,,False,0.0,
E_full_theta_0_7,0.7,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,20.284,,,False,0.0,
E_full_theta_0_7,0.7,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting""]",1,0,5,5,0.9,23.791,,,False,1.0,
E_full_theta_0_7,0.7,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,15.329,,,False,0.667,
E_full_theta_0_7,0.7,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,7.269,,,False,1.0,
E_full_theta_0_8,0.8,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,17.757,,,False,0.0,
E_full_theta_0_8,0.8,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting""]",1,0,5,5,0.9,19.369,,,False,1.0,
E_full_theta_0_8,0.8,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,5.084,,,False,0.333,
E_full_theta_0_8,0.8,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,6.616,,,False,1.0,
E_full_theta_0_8,0.8,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,15.204,,,False,0.0,
E_full_theta_0_8,0.8,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval"", ""work_order_generation""]",3,0,3,3,1.2,25.929,,,False,1.0,
E_full_theta_0_8,0.8,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""write_todos"", ""data_retrieval""]",2,0,5,5,0.5,3.928,,,False,0.167,
E_full_theta_0_8,0.8,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""data_retrieval"", ""anomaly_detection"", ""read_file"", ""read_file"", ""root_cause_analysis""]",5,0,3,3,2.3,19.576,,,False,0.333,
E_full_theta_0_8,0.8,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,15.254,,,False,0.167,
E_full_theta_0_8,0.8,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting""]",1,0,5,5,0.9,20.356,,,False,1.0,
E_full_theta_0_8,0.8,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,14.959,,,False,0.667,
E_full_theta_0_8,0.8,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,6.645,,,False,1.0,
E_full_theta_0_9,0.9,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,21.318,,,False,0.0,
E_full_theta_0_9,0.9,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting""]",1,0,5,5,0.9,22.037,,,False,1.0,
E_full_theta_0_9,0.9,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,21.6,,,False,0.667,
E_full_theta_0_9,0.9,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,8.64,,,False,1.0,
E_full_theta_0_9,0.9,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""anomaly_detection"", ""metadata_retrieval""]",2,0,4,4,0.8,19.475,,,False,0.0,
E_full_theta_0_9,0.9,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval"", ""work_order_generation""]",3,0,3,3,1.2,23.268,,,False,1.0,
E_full_theta_0_9,0.9,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""write_todos"", ""data_retrieval""]",2,0,5,5,0.5,5.084,,,False,0.167,
E_full_theta_0_9,0.9,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""data_retrieval"", ""anomaly_detection"", ""read_file"", ""read_file"", ""root_cause_analysis""]",5,0,3,3,2.3,21.371,,,False,0.333,
E_full_theta_0_9,0.9,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,20.402,,,False,0.0,
E_full_theta_0_9,0.9,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting""]",1,0,5,5,0.9,5.572,,,False,1.0,
E_full_theta_0_9,0.9,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,7.813,,,False,0.667,
E_full_theta_0_9,0.9,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,6.94,,,False,1.0,
E_full_theta_0_95,0.95,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.575,,,False,0.0,
E_full_theta_0_95,0.95,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,21.464,,,False,1.0,
E_full_theta_0_95,0.95,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,14.641,,,False,0.667,
E_full_theta_0_95,0.95,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""metadata_retrieval""]",1,0,5,5,0.1,5.921,,,False,1.0,
E_full_theta_0_95,0.95,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,[],0,0,6,6,0,1.503,,,False,0.0,
E_full_theta_0_95,0.95,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,9.566,,,False,1.0,
E_full_theta_0_95,0.95,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,19.734,,,False,0.0,
E_full_theta_0_95,0.95,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""anomaly_detection"", ""data_retrieval""]",2,0,4,4,0.9,13.643,,,False,0.0,
E_full_theta_0_95,0.95,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""anomaly_detection"", ""metadata_retrieval"", ""read_file""]",3,0,4,4,1.1,18.804,,,False,0.0,
E_full_theta_0_95,0.95,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""forecasting"", ""metadata_retrieval""]",2,0,4,4,1.0,20.279,,,False,1.0,
E_full_theta_0_95,0.95,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""anomaly_detection"", ""read_file""]",2,0,5,5,1.0,16.816,,,False,0.667,
E_full_theta_0_95,0.95,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""metadata_retrieval""]",1,0,5,5,0.1,7.581,,,False,1.0,
